nama_daerah,AHHL,AHHP,HLS,IPM,PPM,Predicted_ANN
Bolaang Mongondow Utara,65.7,69.66,12.39,69.32,7.88,Perlu Pembangunan
Bombana,66.93,71.2,11.91,68.15,10.54,Perlu Pembangunan
Bondowoso,64.85,68.81,13.33,68.65,12.6,Perlu Pembangunan
Bone,65.16,69.14,13.02,68.36,9.58,Perlu Pembangunan
Bone Bolango,66.38,70.46,13.69,72.38,14.8,Tidak Perlu Pembangunan
Boven Digoel,58.53,62.07,11.67,64.26,19.24,Perlu Pembangunan
Boyolali,74.24,77.96,12.67,75.96,9.63,Tidak Perlu Pembangunan
Brebes,67.64,71.44,12.45,68.46,15.6,Perlu Pembangunan
Buleleng,69.99,73.8,13.3,74.52,5.39,Tidak Perlu Pembangunan
Bulukumba,66.05,70.06,13.45,71.97,6.71,Tidak Perlu Pembangunan
Bulungan,71.69,73.65,13.25,73.34,8.76,Tidak Perlu Pembangunan
Bungo,65.87,69.81,12.67,71.92,5.06,Tidak Perlu Pembangunan
Buol,67.04,70.98,13.18,70.28,13.08,Tidak Perlu Pembangunan
Buru,64.43,68.3,13.24,71.01,16.08,Perlu Pembangunan
Buru Selatan,64.37,68.26,12.85,67.09,14.91,Perlu Pembangunan
Buton,66.23,70.53,13.89,68.88,13.99,Perlu Pembangunan
Buton Selatan,65.54,69.73,13.36,67.0,14.28,Perlu Pembangunan
Buton Tengah,65.53,69.7,13.22,66.47,14.4,Perlu Pembangunan
Buton Utara,68.81,73.04,13.32,70.6,14.09,Tidak Perlu Pembangunan
Ciamis,70.19,73.91,14.3,72.56,7.39,Tidak Perlu Pembangunan
Cianjur,68.45,72.23,12.04,67.24,10.14,Perlu Pembangunan
Cilacap,72.05,75.75,12.69,72.38,10.68,Tidak Perlu Pembangunan
Cirebon,70.34,74.07,12.42,71.44,11.0,Tidak Perlu Pembangunan
D I YOGYAKARTA,73.27,76.89,15.7,81.55,10.83,Tidak Perlu Pembangunan
DKI JAKARTA,71.21,74.91,13.51,83.08,4.3,Tidak Perlu Pembangunan
Dairi,67.2,71.08,13.53,73.92,7.1,Tidak Perlu Pembangunan
Deiyai,63.48,67.23,9.86,52.07,39.01,Perlu Pembangunan
Deli Serdang,69.88,73.65,13.4,76.92,3.44,Tidak Perlu Pembangunan
Demak,73.64,77.37,13.36,74.57,11.89,Tidak Perlu Pembangunan
Dharmasraya,69.55,73.41,12.89,74.06,5.32,Tidak Perlu Pembangunan
Dogiyai,63.97,67.72,10.63,57.68,30.03,Perlu Pembangunan
Dompu,65.07,68.86,13.84,70.78,11.59,Tidak Perlu Pembangunan
Donggala,65.53,69.38,12.62,67.45,15.3,Perlu Pembangunan
Empat Lawang,63.2,66.99,12.11,67.25,10.78,Perlu Pembangunan
Ende,63.56,67.24,13.83,69.11,22.57,Perlu Pembangunan
Enrekang,68.92,72.82,13.88,74.61,11.25,Tidak Perlu Pembangunan
Fakfak,66.58,70.42,14.79,70.39,20.86,Tidak Perlu Pembangunan
Flores Timur,63.42,67.16,12.96,66.29,11.25,Perlu Pembangunan
GORONTALO,66.27,70.21,13.17,71.23,14.57,Tidak Perlu Pembangunan
Garut,69.74,73.48,12.17,68.79,9.68,Perlu Pembangunan
Gayo Lues,63.55,67.4,14.59,69.83,18.3,Perlu Pembangunan
Gianyar,71.87,75.56,14.11,79.82,4.0,Tidak Perlu Pembangunan
Gorontalo,65.46,69.65,13.22,69.66,16.43,Perlu Pembangunan
Gorontalo Utara,64.02,67.79,12.5,67.46,16.86,Perlu Pembangunan
Gowa,68.43,72.33,13.71,72.26,6.85,Tidak Perlu Pembangunan
Gresik,70.71,74.53,13.98,78.45,10.32,Tidak Perlu Pembangunan
Grobogan,73.0,76.66,12.48,72.02,11.43,Tidak Perlu Pembangunan
Gunung Kidul,72.26,76.02,13.4,71.89,15.18,Tidak Perlu Pembangunan
Gunung Mas,68.38,72.37,12.1,72.73,5.68,Tidak Perlu Pembangunan
Halmahera Barat,64.37,68.22,13.25,67.53,8.75,Perlu Pembangunan
Halmahera Selatan,63.97,67.79,13.04,66.66,5.63,Perlu Pembangunan
Halmahera Tengah,62.24,66.0,13.52,68.45,10.71,Perlu Pembangunan
Halmahera Timur,67.11,71.0,12.89,69.58,11.91,Perlu Pembangunan
Halmahera Utara,67.6,71.54,13.69,69.78,4.71,Tidak Perlu Pembangunan
Hulu Sungai Selatan,64.19,68.01,12.48,71.21,3.38,Perlu Pembangunan
Hulu Sungai Tengah,64.3,68.07,12.31,70.69,5.81,Perlu Pembangunan
Hulu Sungai Utara,62.22,65.94,13.21,68.28,5.75,Perlu Pembangunan
Humbang Hasundutan,67.45,71.42,13.46,71.59,8.44,Tidak Perlu Pembangunan
Indragiri Hilir,65.94,69.95,12.21,68.38,5.66,Perlu Pembangunan
Indragiri Hulu,68.24,72.17,12.6,71.48,6.02,Tidak Perlu Pembangunan
Indramayu,70.01,73.72,12.32,69.83,11.93,Perlu Pembangunan
Intan Jaya,63.61,67.55,7.7,50.71,41.42,Perlu Pembangunan
JAMBI,69.33,73.19,13.14,73.43,7.1,Tidak Perlu Pembangunan
JAWA BARAT,71.57,75.19,12.8,74.43,7.46,Tidak Perlu Pembangunan
JAWA TENGAH,72.61,76.42,12.86,73.88,10.47,Tidak Perlu Pembangunan
JAWA TIMUR,69.51,73.35,13.43,74.09,9.79,Tidak Perlu Pembangunan
Jayapura,64.93,69.08,14.59,74.11,11.6,Tidak Perlu Pembangunan
Jayawijaya,58.13,61.63,12.85,61.03,32.28,Perlu Pembangunan
Jember,67.24,71.21,13.5,69.15,9.01,Perlu Pembangunan
Jembrana,70.5,74.3,13.05,74.6,4.51,Tidak Perlu Pembangunan
Jeneponto,64.47,68.42,12.14,66.38,11.82,Perlu Pembangunan
Jepara,74.11,77.89,12.86,74.32,6.09,Tidak Perlu Pembangunan
Jombang,70.53,74.34,13.61,75.1,8.6,Tidak Perlu Pembangunan
KALIMANTAN BARAT,68.87,72.74,12.68,70.13,6.32,Tidak Perlu Pembangunan
KALIMANTAN SELATAN,66.97,70.79,12.87,73.03,4.11,Tidak Perlu Pembangunan
KALIMANTAN TENGAH,67.89,71.72,12.77,72.73,5.17,Tidak Perlu Pembangunan
KALIMANTAN TIMUR,72.79,76.51,14.03,78.83,5.78,Tidak Perlu Pembangunan
KALIMANTAN UTARA,70.69,74.48,13.21,73.02,6.32,Tidak Perlu Pembangunan
KEP. BANGKA BELITUNG,68.86,72.7,12.49,73.33,4.55,Tidak Perlu Pembangunan
KEPULAUAN RIAU,68.24,72.07,13.27,77.97,5.37,Tidak Perlu Pembangunan
Kaimana,63.06,66.81,12.51,67.6,14.41,Perlu Pembangunan
Kampar,68.81,72.75,13.61,74.85,6.92,Tidak Perlu Pembangunan
Kapuas,66.76,70.7,13.01,71.32,5.25,Tidak Perlu Pembangunan
Kapuas Hulu,70.63,74.34,12.23,68.58,7.4,Perlu Pembangunan
Karanganyar,75.81,79.43,13.73,78.11,9.59,Tidak Perlu Pembangunan
Karawang,70.5,74.21,12.21,72.9,7.86,Tidak Perlu Pembangunan
Karimun,69.11,73.02,12.62,74.28,5.78,Tidak Perlu Pembangunan
Karo,69.55,73.46,13.26,76.55,7.37,Tidak Perlu Pembangunan
Katingan,63.84,67.76,12.99,70.7,5.26,Perlu Pembangunan
Kaur,64.83,68.63,13.15,68.98,17.12,Perlu Pembangunan
Kayong Utara,66.12,70.5,12.2,65.74,8.84,Perlu Pembangunan
Kebumen,71.65,75.41,13.39,71.93,15.71,Tidak Perlu Pembangunan
Kediri,70.69,74.48,13.63,74.44,9.95,Tidak Perlu Pembangunan
Keerom,64.6,68.69,12.52,68.68,15.84,Perlu Pembangunan
Kendal,72.64,76.34,13.0,74.34,9.35,Tidak Perlu Pembangunan
Kepahiang,66.13,70.02,13.16,70.27,12.9,Tidak Perlu Pembangunan
Kepulauan Anambas,65.35,69.27,13.06,70.93,6.67,Tidak Perlu Pembangunan
Kepulauan Aru,61.01,64.77,12.37,65.83,23.39,Perlu Pembangunan
Kepulauan Mentawai,62.72,66.6,12.91,63.99,13.89,Perlu Pembangunan
Kepulauan Meranti,65.77,69.69,12.87,67.92,23.15,Perlu Pembangunan
Kepulauan Sangihe,68.15,72.07,12.61,72.71,10.84,Tidak Perlu Pembangunan
Kepulauan Selayar,66.49,70.43,12.84,70.03,10.79,Tidak Perlu Pembangunan
Kepulauan Sula,61.45,65.23,12.98,65.99,7.96,Perlu Pembangunan
Kepulauan Talaud,68.22,72.12,12.67,71.77,8.17,Tidak Perlu Pembangunan
Kepulauan Yapen,67.04,71.1,12.82,69.65,25.69,Perlu Pembangunan
Kerinci,68.04,71.96,13.92,73.11,6.93,Tidak Perlu Pembangunan
Ketapang,69.05,73.05,11.97,69.42,8.5,Perlu Pembangunan
Klaten,75.1,78.8,13.43,78.16,12.04,Tidak Perlu Pembangunan
Klungkung,69.44,73.27,13.13,74.04,5.3,Tidak Perlu Pembangunan
Kolaka,69.09,73.32,13.04,75.18,11.67,Tidak Perlu Pembangunan
Kolaka Timur,70.75,74.89,12.71,70.27,13.71,Tidak Perlu Pembangunan
Kolaka Utara,68.29,72.46,12.22,71.7,13.51,Tidak Perlu Pembangunan
Konawe,68.19,72.4,13.05,73.39,13.25,Tidak Perlu Pembangunan
Konawe Kepulauan,66.3,70.56,12.55,67.99,15.54,Perlu Pembangunan
Konawe Selatan,68.74,72.97,12.79,71.19,11.2,Tidak Perlu Pembangunan
Konawe Utara,67.3,71.66,13.13,72.32,13.17,Tidak Perlu Pembangunan
Kota Ambon,68.64,72.52,16.08,82.56,5.13,Tidak Perlu Pembangunan
Kota Balikpapan,72.86,76.55,14.25,82.24,2.23,Tidak Perlu Pembangunan
Kota Banda Aceh,69.56,73.38,17.94,87.17,6.95,Tidak Perlu Pembangunan
Kota Bandar Lampung,69.42,73.25,14.73,79.19,7.37,Tidak Perlu Pembangunan
Kota Bandung,72.71,76.16,14.25,83.52,3.87,Tidak Perlu Pembangunan
Kota Banjar,69.31,73.08,13.28,73.64,5.85,Tidak Perlu Pembangunan
Kota Banjar Baru,70.19,73.96,14.86,80.51,3.79,Tidak Perlu Pembangunan
Kota Banjarmasin,69.4,73.2,14.01,79.05,4.58,Tidak Perlu Pembangunan
Kota Batam,71.41,75.21,13.56,82.86,4.85,Tidak Perlu Pembangunan
Kota Batu,70.66,74.54,14.58,78.79,3.06,Tidak Perlu Pembangunan
Kota Baubau,69.12,73.37,15.53,78.13,7.4,Tidak Perlu Pembangunan
Kota Bekasi,73.48,76.89,14.14,83.54,4.01,Tidak Perlu Pembangunan
Kota Bengkulu,68.28,72.11,16.07,82.04,13.76,Tidak Perlu Pembangunan
Kota Bima,68.57,72.4,15.08,78.04,8.12,Tidak Perlu Pembangunan
Kota Binjai,70.54,74.32,14.18,78.1,4.75,Tidak Perlu Pembangunan
Kota Bitung,69.1,72.98,12.67,75.71,6.27,Tidak Perlu Pembangunan
Kota Blitar,71.95,75.65,14.81,81.27,6.75,Tidak Perlu Pembangunan
Kota Bogor,72.02,75.65,13.51,78.52,6.53,Tidak Perlu Pembangunan
Kota Bontang,72.63,76.27,13.73,82.42,3.74,Tidak Perlu Pembangunan
Kota Bukittinggi,72.66,76.3,15.28,82.51,4.08,Tidak Perlu Pembangunan
Kota Cilegon,64.68,68.61,13.23,75.14,3.75,Perlu Pembangunan
Kota Cimahi,72.45,75.96,13.85,80.08,4.39,Tidak Perlu Pembangunan
Kota Cirebon,70.61,74.31,13.17,77.08,9.02,Tidak Perlu Pembangunan
Kota Denpasar,73.08,76.68,14.13,85.22,2.59,Tidak Perlu Pembangunan
